diario,categoria,desde,hasta,total,por_dia
infobae,internacional,20210207,20210213,11070,1581.43
popular,deportes,20210207,20210213,4909,701.29
popular,varios,20210207,20210213,2521,360.14
lanacion,sociedad,20210207,20210213,2041,291.57
todonoticias,salud,20210207,20210213,485,69.29
lanacion,lifestyle,20210207,20210213,378,54.00
lanacion,internacional,20210207,20210213,316,45.14
lanacion,deportes,20210207,20210213,294,42.00
todonoticias,autos,20210207,20210213,294,42.00
lanacion,espectaculos,20210207,20210213,272,38.86
clarin,internacional,20210207,20210213,242,34.57
clarin,deportes,20210207,20210213,206,29.43
lanacion,economia,20210207,20210213,178,25.43
ambito,politica,20210207,20210213,174,24.86
paginadoce,sociedad,20210207,20210213,158,22.57
clarin,politica,20210207,20210213,151,21.57
perfil,politica,20210207,20210213,147,21.00
lanacion,politica,20210207,20210213,144,20.57
eldestape,politica,20210207,20210213,141,20.14
infobae,economia,20210207,20210213,141,20.14
infobae,sociedad,20210207,20210213,140,20.00
ambito,sociedad,20210207,20210213,139,19.86
todonoticias,espectaculos,20210207,20210213,136,19.43
clarin,sociedad,20210207,20210213,133,19.00
infobae,politica,20210207,20210213,126,18.00
todonoticias,deportes,20210207,20210213,124,17.71
telam,politica,20210207,20210213,123,17.57
paginadoce,politica,20210207,20210213,122,17.43
infobae,espectaculos,20210207,20210213,118,16.86
telam,sociedad,20210207,20210213,118,16.86
paginadoce,rosario12,20210207,20210213,114,16.29
perfil,deportes,20210207,20210213,110,15.71
todonoticias,sociedad,20210207,20210213,102,14.57
todonoticias,internacional,20210207,20210213,100,14.29
clarin,economia,20210207,20210213,99,14.14
paginadoce,deportes,20210207,20210213,96,13.71
telam,deportes,20210207,20210213,95,13.57
ambito,economia,20210207,20210213,89,12.71
perfil,economia,20210207,20210213,89,12.71
todonoticias,estilo,20210207,20210213,89,12.71
ambito,deportes,20210207,20210213,83,11.86
perfil,espectaculos,20210207,20210213,81,11.57
clarin,espectaculos,20210207,20210213,79,11.29
eldestape,economia,20210207,20210213,79,11.29
infobae,deportes,20210207,20210213,79,11.29
todonoticias,politica,20210207,20210213,78,11.14
paginadoce,economia,20210207,20210213,74,10.57
lanacion,seguridad,20210207,20210213,73,10.43
telam,internacional,20210207,20210213,73,10.43
eldestape,sociedad,20210207,20210213,71,10.14
telam,economia,20210207,20210213,67,9.57
clarin,rural,20210207,20210213,65,9.29
ambito,internacional,20210207,20210213,63,9.00
perfil,opinion,20210207,20210213,61,8.71
paginadoce,internacional,20210207,20210213,60,8.57
perfil,internacional,20210207,20210213,59,8.43
lanacion,opinion,20210207,20210213,57,8.14
diariodeleuco,todo,20210207,20210213,56,8.00
infobae,opinion,20210207,20210213,55,7.86
todonoticias,policiales,20210207,20210213,53,7.57
todonoticias,musica,20210207,20210213,50,7.14
clarin,policiales,20210207,20210213,49,7.00
todonoticias,economia,20210207,20210213,49,7.00
perfil,sociedad,20210207,20210213,47,6.71
telam,espectaculos,20210207,20210213,45,6.43
clarin,tecnologia,20210207,20210213,44,6.29
paginadoce,espectaculos,20210207,20210213,44,6.29
telam,policiales,20210207,20210213,44,6.29
ambito,espectaculos,20210207,20210213,43,6.14
ambito,finanzas,20210207,20210213,43,6.14
clarin,opinion,20210207,20210213,43,6.14
telam,latinoamerica,20210207,20210213,40,5.71
popular,general,20210207,20210213,37,5.29
ambito,negocios,20210207,20210213,36,5.14
todonoticias,tecno,20210207,20210213,32,4.57
lanacion,propiedades,20210207,20210213,31,4.43
ambito,nacional,20210207,20210213,30,4.29
eldestape,deportes,20210207,20210213,30,4.29
infobae,cultura,20210207,20210213,28,4.00
lanacion,cultura,20210207,20210213,28,4.00
lanacion,tecnologia,20210207,20210213,27,3.86
telam,conosur,20210207,20210213,26,3.71
clarin,revista-n,20210207,20210213,23,3.29
infobae,salud,20210207,20210213,23,3.29
popular,policiales,20210207,20210213,23,3.29
clarin,ciudades,20210207,20210213,22,3.14
eldestape,cultura,20210207,20210213,22,3.14
ambito,opinion,20210207,20210213,21,3.00
perfil,policiales,20210207,20210213,21,3.00
popular,politica,20210207,20210213,21,3.00
clarin,viajes,20210207,20210213,20,2.86
lanacion,ciencia,20210207,20210213,19,2.71
clarin,cultura,20210207,20210213,18,2.57
popular,internacionales,20210207,20210213,18,2.57
infobae,tendencias,20210207,20210213,17,2.43
ambito,lifestyle,20210207,20210213,15,2.14
clarin,buena-vida,20210207,20210213,14,2.00
paginadoce,las12,20210207,20210213,14,2.00
perfil,salud,20210207,20210213,13,1.86
telam,cultura,20210207,20210213,12,1.71
todonoticias,opinion,20210207,20210213,12,1.71
clarin,autos,20210207,20210213,11,1.57
perfil,cultura,20210207,20210213,10,1.43
clarin,arq,20210207,20210213,9,1.29
clarin,viva,20210207,20210213,9,1.29
eldestape,internacional,20210207,20210213,9,1.29
lanacion,autos,20210207,20210213,9,1.29
paginadoce,no,20210207,20210213,9,1.29
popular,espectaculos,20210207,20210213,9,1.29
clarin,cartas-al-pais,20210207,20210213,8,1.14
infobae,inhouse,20210207,20210213,8,1.14
lanacion,turismo,20210207,20210213,8,1.14
perfil,ciencia,20210207,20210213,8,1.14
lanacion,comunidad,20210207,20210213,6,0.86
perfil,tecnologia,20210207,20210213,6,0.86
diariodeleuco,editorial,20210207,20210213,5,0.71
infobae,campo,20210207,20210213,5,0.71
paginadoce,radar,20210207,20210213,5,0.71
telam,turismo,20210207,20210213,5,0.71
ambito,novedades-fiscales,20210207,20210213,4,0.57
casarosada,todo,20210207,20210213,4,0.57
paginadoce,cultura,20210207,20210213,4,0.57
popular,horoscopo,20210207,20210213,4,0.57
popular,tecnologia,20210207,20210213,4,0.57
lanacion,buenos-aires,20210207,20210213,3,0.43
lanacion,salud,20210207,20210213,3,0.43
popular,economia,20210207,20210213,3,0.43
popular,salud,20210207,20210213,3,0.43
paginadoce,soy,20210207,20210213,2,0.29
infobae,tecno,20210207,20210213,1,0.14
lanacion,moda-y-belleza,20210207,20210213,1,0.14
paginadoce,radar libros,20210207,20210213,1,0.14
paginadoce,universidad,20210207,20210213,1,0.14
telam,provincias,20210207,20210213,1,0.14
