palabra,freq,por_noticia,diario
martes,25.00,0.06,La Nación
acuerdo,9.00,0.05,Infobae
domingo,24.00,0.05,La Nación
lunes,24.00,0.05,La Nación
miércoles,24.00,0.05,La Nación
serie,18.00,0.05,La Nación
coronavirus,38.00,0.05,Télam
España,17.00,0.05,La Nación
foto,17.00,0.05,La Nación
Alberto Fernández,40.00,0.05,Perfil
Justicia,10.00,0.05,Infobae
presidente,10.00,0.05,Infobae
viernes,23.00,0.05,La Nación
Alberto,18.00,0.05,El Destape
Gallardo,5.00,0.05,Infobae
Platense,5.00,0.05,Infobae
triunfo,5.00,0.05,Infobae
título,5.00,0.05,Infobae
femicidio,6.00,0.05,Infobae
Quiniela,22.00,0.05,La Nación
mercado,9.00,0.05,La Nación
Boca,556.00,0.05,Popular
premio,16.00,0.05,La Nación
marzo,42.00,0.05,Ámbito
marzo,17.00,0.05,El Destape
Boca,16.00,0.05,La Nación
Congreso,9.00,0.05,Infobae
vacunatorio,9.00,0.05,Infobae
discurso,10.00,0.05,La Nación
juez,10.00,0.05,La Nación
CES,5.00,0.05,La Nación
coronavirus,16.00,0.05,El Destape
MasterChef Celebrity,15.00,0.05,La Nación
Alberto Fernández,61.00,0.05,Clarín
resultado,517.00,0.05,Popular
coronavirus,45.00,0.04,TN
Copa,15.00,0.04,La Nación
Liga,15.00,0.04,La Nación
visitante,15.00,0.04,La Nación
gobierno,34.00,0.04,Perfil
gobierno,15.00,0.04,El Destape
vacuna,15.00,0.04,El Destape
Banco,7.00,0.04,Infobae
deuda,7.00,0.04,Infobae
inflación,7.00,0.04,Infobae
mes,7.00,0.04,Infobae
Buenos Aires,5.00,0.04,Infobae
hombre,5.00,0.04,Infobae
Justicia,9.00,0.04,La Nación
horario,14.00,0.04,La Nación
represión,8.00,0.04,Infobae
vacuna,29.00,0.04,Télam
programa,467.00,0.04,Popular
Alberto Fernández,41.00,0.04,TN
camiseta,4.00,0.04,Infobae
frase,4.00,0.04,Infobae
jugador,4.00,0.04,Infobae
partido,4.00,0.04,Infobae
Argentina,14.00,0.04,El Destape
papa,12.00,0.04,La Nación
Córdoba,450.00,0.04,Popular
formación,13.00,0.04,La Nación
coronavirus,28.00,0.04,Página 12
comisión,8.00,0.04,La Nación
dólar,32.00,0.04,Ámbito
WhatsApp,4.00,0.04,La Nación
pantalla,4.00,0.04,La Nación
smartphone,4.00,0.04,La Nación
sesión,7.00,0.04,Infobae
frente,413.00,0.04,Popular
Estados,11.00,0.04,La Nación
Serie,12.00,0.04,La Nación
Diego Maradona,5.00,0.04,Infobae
amor,5.00,0.04,Infobae
salud,5.00,0.04,Infobae
candidato,400.00,0.04,Popular
Lorenzo,399.00,0.03,Popular
dólar,12.00,0.03,El Destape
febrero,15.00,0.03,La Nación
video,15.00,0.03,La Nación
Ciudad,4.00,0.03,Infobae
auto,4.00,0.03,Infobae
joven,4.00,0.03,Infobae
Argentina,45.00,0.03,Clarín
Anses,6.00,0.03,La Nación
Dólar,6.00,0.03,La Nación
peso,6.00,0.03,La Nación
Rusia,10.00,0.03,La Nación
Cristina Kirchner,25.00,0.03,Perfil
dólar,44.00,0.03,Clarín
River,11.00,0.03,La Nación
final,11.00,0.03,La Nación
Plata,14.00,0.03,La Nación
horóscopo,14.00,0.03,La Nación
Alberto Fernández,11.00,0.03,El Destape
Alberto Fernández,23.00,0.03,Página 12
juez,6.00,0.03,Infobae
foto,350.00,0.03,Popular
Plata,350.00,0.03,Popular
vacuna,41.00,0.03,Clarín
Bitcoin,5.00,0.03,Infobae
Ganancias,5.00,0.03,Infobae
Alberto Fernández,26.00,0.03,Ámbito
Argentina,30.00,0.03,TN
campeón,10.00,0.03,La Nación
Reino,9.00,0.03,La Nación
vacunación,9.00,0.03,La Nación
gobierno,39.00,0.03,Clarín
gobierno,25.00,0.03,Ámbito
vacuna,29.00,0.03,TN
Boca,22.00,0.03,Perfil
deuda,10.00,0.03,El Destape
Cristina,10.00,0.03,El Destape
FMI,10.00,0.03,El Destape
Oro,4.00,0.03,Infobae
actor,4.00,0.03,Infobae
celebrities,4.00,0.03,Infobae
click,4.00,0.03,Infobae
